,MD,TVD,depths,depthTVD
0,5602,5599.34,7507.0,7335.5758000000005
1,5697,5693.86,7610.0,7422.034
2,5791,5786.95,7806.0,7586.5564
3,5883,5877.58,7842.0,7616.7748
4,5974,5966.61,8124.0,7853.4856
5,6066,6055.94,8252.0,7960.9288
6,6160,6146.43,8298.0,7999.5412
7,6254,6235.94,8352.0,8044.8688
8,6346,6322.45,,0.0
9,6440,6409.5,,0.0
10,6533,6494.07,,0.0
11,6627,6578.07,,0.0
12,6716,6656.42,,0.0
13,6810,6737.97,,0.0
14,6903,6817.85,,0.0
15,6995,6896.57,,0.0
16,7089,6976.97,,0.0
17,7182,7056.63,,0.0
18,7369,7216.82,,0.0
19,7564,7383.24,,0.0
20,7596,7410.46,,0.0
21,7743,7534.97,,0.0
22,7843,7619.2,,0.0
23,7936,7697.46,,0.0
24,8030,7776.28,,0.0
25,8126,7856.37,,0.0
26,8148,7874.69,,0.0
27,8250,7959.44,,0.0
28,8400,8083.78,,0.0
29,8481,8150.93,,0.0
